RMN,Ar,At,Br,Bt,Cr,Ct,Dr,Dt
R2B-M1-N06,R2B-M1-N02,R23-M1-N02,R1B-M1-N14,R2B-M1-N14,R2F-M1-N07,R2B-M1-N07,R2B-M1-N04,R2B-M0-N04
R2B-M1-N07,R2B-M1-N03,R23-M1-N03,R1B-M1-N15,R2B-M1-N15,R2B-M1-N06,R29-M1-N06,R2B-M1-N05,R2B-M0-N05
R2B-M1-N08,R23-M1-N12,R2B-M1-N12,R2B-M1-N00,R0B-M1-N00,R2F-M1-N09,R2B-M1-N09,R2A-M1-N10,R2B-M1-N10
R2B-M1-N09,R23-M1-N13,R2B-M1-N13,R2B-M1-N01,R0B-M1-N01,R2B-M1-N08,R29-M1-N08,R2A-M1-N11,R2B-M1-N11
R2B-M1-N10,R23-M1-N14,R2B-M1-N14,R2B-M1-N02,R0B-M1-N02,R2F-M1-N11,R2B-M1-N11,R2B-M1-N08,R2B-M0-N08
R2B-M1-N11,R23-M1-N15,R2B-M1-N15,R2B-M1-N03,R0B-M1-N03,R2B-M1-N10,R29-M1-N10,R2B-M1-N09,R2B-M0-N09
R2B-M1-N12,R2B-M1-N08,R23-M1-N08,R2B-M1-N04,R0B-M1-N04,R2F-M1-N13,R2B-M1-N13,R2A-M1-N14,R2B-M1-N14
R2B-M1-N13,R2B-M1-N09,R23-M1-N09,R2B-M1-N05,R0B-M1-N05,R2B-M1-N12,R29-M1-N12,R2A-M1-N15,R2B-M1-N15
R2B-M1-N14,R2B-M1-N10,R23-M1-N10,R2B-M1-N06,R0B-M1-N06,R2F-M1-N15,R2B-M1-N15,R2B-M1-N12,R2B-M0-N12
R2B-M1-N15,R2B-M1-N11,R23-M1-N11,R2B-M1-N07,R0B-M1-N07,R2B-M1-N14,R29-M1-N14,R2B-M1-N13,R2B-M0-N13
R2C-M0-N00,R24-M0-N04,R2C-M0-N04,R1C-M0-N08,R2C-M0-N08,R28-M0-N01,R2C-M0-N01,R2D-M0-N02,R2C-M0-N02
R2C-M0-N01,R24-M0-N05,R2C-M0-N05,R1C-M0-N09,R2C-M0-N09,R2C-M0-N00,R2E-M0-N00,R2D-M0-N03,R2C-M0-N03
R2C-M0-N02,R24-M0-N06,R2C-M0-N06,R1C-M0-N10,R2C-M0-N10,R28-M0-N03,R2C-M0-N03,R2C-M0-N00,R2C-M1-N00
R2C-M0-N03,R24-M0-N07,R2C-M0-N07,R1C-M0-N11,R2C-M0-N11,R2C-M0-N02,R2E-M0-N02,R2C-M0-N01,R2C-M1-N01
R2C-M0-N04,R2C-M0-N00,R24-M0-N00,R1C-M0-N12,R2C-M0-N12,R28-M0-N05,R2C-M0-N05,R2D-M0-N06,R2C-M0-N06
R2C-M0-N05,R2C-M0-N01,R24-M0-N01,R1C-M0-N13,R2C-M0-N13,R2C-M0-N04,R2E-M0-N04,R2D-M0-N07,R2C-M0-N07
R2C-M0-N06,R2C-M0-N02,R24-M0-N02,R1C-M0-N14,R2C-M0-N14,R28-M0-N07,R2C-M0-N07,R2C-M0-N04,R2C-M1-N04
