RMN,Ar,At,Br,Bt,Cr,Ct,Dr,Dt
R2D-M0-N04,R2D-M0-N00,R25-M0-N00,R1D-M0-N12,R2D-M0-N12,R29-M0-N05,R2D-M0-N05,R2D-M1-N06,R2D-M0-N06
R2D-M0-N05,R2D-M0-N01,R25-M0-N01,R1D-M0-N13,R2D-M0-N13,R2D-M0-N04,R2F-M0-N04,R2D-M1-N07,R2D-M0-N07
R2D-M0-N06,R2D-M0-N02,R25-M0-N02,R1D-M0-N14,R2D-M0-N14,R29-M0-N07,R2D-M0-N07,R2D-M0-N04,R2C-M0-N04
R2D-M0-N07,R2D-M0-N03,R25-M0-N03,R1D-M0-N15,R2D-M0-N15,R2D-M0-N06,R2F-M0-N06,R2D-M0-N05,R2C-M0-N05
R2D-M0-N08,R25-M0-N12,R2D-M0-N12,R2D-M0-N00,R0D-M0-N00,R29-M0-N09,R2D-M0-N09,R2D-M1-N10,R2D-M0-N10
R2D-M0-N09,R25-M0-N13,R2D-M0-N13,R2D-M0-N01,R0D-M0-N01,R2D-M0-N08,R2F-M0-N08,R2D-M1-N11,R2D-M0-N11
R2D-M0-N10,R25-M0-N14,R2D-M0-N14,R2D-M0-N02,R0D-M0-N02,R29-M0-N11,R2D-M0-N11,R2D-M0-N08,R2C-M0-N08
R2D-M0-N11,R25-M0-N15,R2D-M0-N15,R2D-M0-N03,R0D-M0-N03,R2D-M0-N10,R2F-M0-N10,R2D-M0-N09,R2C-M0-N09
R2D-M0-N12,R2D-M0-N08,R25-M0-N08,R2D-M0-N04,R0D-M0-N04,R29-M0-N13,R2D-M0-N13,R2D-M1-N14,R2D-M0-N14
R2D-M0-N13,R2D-M0-N09,R25-M0-N09,R2D-M0-N05,R0D-M0-N05,R2D-M0-N12,R2F-M0-N12,R2D-M1-N15,R2D-M0-N15
R2D-M0-N14,R2D-M0-N10,R25-M0-N10,R2D-M0-N06,R0D-M0-N06,R29-M0-N15,R2D-M0-N15,R2D-M0-N12,R2C-M0-N12
R2D-M0-N15,R2D-M0-N11,R25-M0-N11,R2D-M0-N07,R0D-M0-N07,R2D-M0-N14,R2F-M0-N14,R2D-M0-N13,R2C-M0-N13
R2D-M1-N00,R25-M1-N04,R2D-M1-N04,R1D-M1-N08,R2D-M1-N08,R29-M1-N01,R2D-M1-N01,R2C-M1-N02,R2D-M1-N02
R2D-M1-N01,R25-M1-N05,R2D-M1-N05,R1D-M1-N09,R2D-M1-N09,R2D-M1-N00,R2F-M1-N00,R2C-M1-N03,R2D-M1-N03
R2D-M1-N02,R25-M1-N06,R2D-M1-N06,R1D-M1-N10,R2D-M1-N10,R29-M1-N03,R2D-M1-N03,R2D-M1-N00,R2D-M0-N00
R2D-M1-N03,R25-M1-N07,R2D-M1-N07,R1D-M1-N11,R2D-M1-N11,R2D-M1-N02,R2F-M1-N02,R2D-M1-N01,R2D-M0-N01
R2D-M1-N04,R2D-M1-N00,R25-M1-N00,R1D-M1-N12,R2D-M1-N12,R29-M1-N05,R2D-M1-N05,R2C-M1-N06,R2D-M1-N06
R2D-M1-N05,R2D-M1-N01,R25-M1-N01,R1D-M1-N13,R2D-M1-N13,R2D-M1-N04,R2F-M1-N04,R2C-M1-N07,R2D-M1-N07
R2D-M1-N06,R2D-M1-N02,R25-M1-N02,R1D-M1-N14,R2D-M1-N14,R29-M1-N07,R2D-M1-N07,R2D-M1-N04,R2D-M0-N04
R2D-M1-N07,R2D-M1-N03,R25-M1-N03,R1D-M1-N15,R2D-M1-N15,R2D-M1-N06,R2F-M1-N06,R2D-M1-N05,R2D-M0-N05
R2D-M1-N08,R25-M1-N12,R2D-M1-N12,R2D-M1-N00,R0D-M1-N00,R29-M1-N09,R2D-M1-N09,R2C-M1-N10,R2D-M1-N10
R2D-M1-N09,R25-M1-N13,R2D-M1-N13,R2D-M1-N01,R0D-M1-N01,R2D-M1-N08,R2F-M1-N08,R2C-M1-N11,R2D-M1-N11
R2D-M1-N10,R25-M1-N14,R2D-M1-N14,R2D-M1-N02,R0D-M1-N02,R29-M1-N11,R2D-M1-N11,R2D-M1-N08,R2D-M0-N08
R2D-M1-N11,R25-M1-N15,R2D-M1-N15,R2D-M1-N03,R0D-M1-N03,R2D-M1-N10,R2F-M1-N10,R2D-M1-N09,R2D-M0-N09
R2D-M1-N12,R2D-M1-N08,R25-M1-N08,R2D-M1-N04,R0D-M1-N04,R29-M1-N13,R2D-M1-N13,R2C-M1-N14,R2D-M1-N14
R2D-M1-N13,R2D-M1-N09,R25-M1-N09,R2D-M1-N05,R0D-M1-N05,R2D-M1-N12,R2F-M1-N12,R2C-M1-N15,R2D-M1-N15
R2D-M1-N14,R2D-M1-N10,R25-M1-N10,R2D-M1-N06,R0D-M1-N06,R29-M1-N15,R2D-M1-N15,R2D-M1-N12,R2D-M0-N12
R2D-M1-N15,R2D-M1-N11,R25-M1-N11,R2D-M1-N07,R0D-M1-N07,R2D-M1-N14,R2F-M1-N14,R2D-M1-N13,R2D-M0-N13
R2E-M0-N00,R26-M0-N04,R2E-M0-N04,R1E-M0-N08,R2E-M0-N08,R2C-M0-N01,R2E-M0-N01,R2F-M0-N02,R2E-M0-N02
R2E-M0-N01,R26-M0-N05,R2E-M0-N05,R1E-M0-N09,R2E-M0-N09,R2E-M0-N00,R2A-M0-N00,R2F-M0-N03,R2E-M0-N03
R2E-M0-N02,R26-M0-N06,R2E-M0-N06,R1E-M0-N10,R2E-M0-N10,R2C-M0-N03,R2E-M0-N03,R2E-M0-N00,R2E-M1-N00
R2E-M0-N03,R26-M0-N07,R2E-M0-N07,R1E-M0-N11,R2E-M0-N11,R2E-M0-N02,R2A-M0-N02,R2E-M0-N01,R2E-M1-N01
R2E-M0-N04,R2E-M0-N00,R26-M0-N00,R1E-M0-N12,R2E-M0-N12,R2C-M0-N05,R2E-M0-N05,R2F-M0-N06,R2E-M0-N06
R2E-M0-N05,R2E-M0-N01,R26-M0-N01,R1E-M0-N13,R2E-M0-N13,R2E-M0-N04,R2A-M0-N04,R2F-M0-N07,R2E-M0-N07
R2E-M0-N06,R2E-M0-N02,R26-M0-N02,R1E-M0-N14,R2E-M0-N14,R2C-M0-N07,R2E-M0-N07,R2E-M0-N04,R2E-M1-N04
R2E-M0-N07,R2E-M0-N03,R26-M0-N03,R1E-M0-N15,R2E-M0-N15,R2E-M0-N06,R2A-M0-N06,R2E-M0-N05,R2E-M1-N05
R2E-M0-N08,R26-M0-N12,R2E-M0-N12,R2E-M0-N00,R0E-M0-N00,R2C-M0-N09,R2E-M0-N09,R2F-M0-N10,R2E-M0-N10
R2E-M0-N09,R26-M0-N13,R2E-M0-N13,R2E-M0-N01,R0E-M0-N01,R2E-M0-N08,R2A-M0-N08,R2F-M0-N11,R2E-M0-N11
R2E-M0-N10,R26-M0-N14,R2E-M0-N14,R2E-M0-N02,R0E-M0-N02,R2C-M0-N11,R2E-M0-N11,R2E-M0-N08,R2E-M1-N08
R2E-M0-N11,R26-M0-N15,R2E-M0-N15,R2E-M0-N03,R0E-M0-N03,R2E-M0-N10,R2A-M0-N10,R2E-M0-N09,R2E-M1-N09
R2E-M0-N12,R2E-M0-N08,R26-M0-N08,R2E-M0-N04,R0E-M0-N04,R2C-M0-N13,R2E-M0-N13,R2F-M0-N14,R2E-M0-N14
R2E-M0-N13,R2E-M0-N09,R26-M0-N09,R2E-M0-N05,R0E-M0-N05,R2E-M0-N12,R2A-M0-N12,R2F-M0-N15,R2E-M0-N15
R2E-M0-N14,R2E-M0-N10,R26-M0-N10,R2E-M0-N06,R0E-M0-N06,R2C-M0-N15,R2E-M0-N15,R2E-M0-N12,R2E-M1-N12
R2E-M0-N15,R2E-M0-N11,R26-M0-N11,R2E-M0-N07,R0E-M0-N07,R2E-M0-N14,R2A-M0-N14,R2E-M0-N13,R2E-M1-N13
R2E-M1-N00,R26-M1-N04,R2E-M1-N04,R1E-M1-N08,R2E-M1-N08,R2C-M1-N01,R2E-M1-N01,R2E-M0-N02,R2E-M1-N02
R2E-M1-N01,R26-M1-N05,R2E-M1-N05,R1E-M1-N09,R2E-M1-N09,R2E-M1-N00,R2A-M1-N00,R2E-M0-N03,R2E-M1-N03
R2E-M1-N02,R26-M1-N06,R2E-M1-N06,R1E-M1-N10,R2E-M1-N10,R2C-M1-N03,R2E-M1-N03,R2E-M1-N00,R2F-M1-N00
R2E-M1-N03,R26-M1-N07,R2E-M1-N07,R1E-M1-N11,R2E-M1-N11,R2E-M1-N02,R2A-M1-N02,R2E-M1-N01,R2F-M1-N01
R2E-M1-N04,R2E-M1-N00,R26-M1-N00,R1E-M1-N12,R2E-M1-N12,R2C-M1-N05,R2E-M1-N05,R2E-M0-N06,R2E-M1-N06
R2E-M1-N05,R2E-M1-N01,R26-M1-N01,R1E-M1-N13,R2E-M1-N13,R2E-M1-N04,R2A-M1-N04,R2E-M0-N07,R2E-M1-N07
R2E-M1-N06,R2E-M1-N02,R26-M1-N02,R1E-M1-N14,R2E-M1-N14,R2C-M1-N07,R2E-M1-N07,R2E-M1-N04,R2F-M1-N04
R2E-M1-N07,R2E-M1-N03,R26-M1-N03,R1E-M1-N15,R2E-M1-N15,R2E-M1-N06,R2A-M1-N06,R2E-M1-N05,R2F-M1-N05
R2E-M1-N08,R26-M1-N12,R2E-M1-N12,R2E-M1-N00,R0E-M1-N00,R2C-M1-N09,R2E-M1-N09,R2E-M0-N10,R2E-M1-N10
R2E-M1-N09,R26-M1-N13,R2E-M1-N13,R2E-M1-N01,R0E-M1-N01,R2E-M1-N08,R2A-M1-N08,R2E-M0-N11,R2E-M1-N11
R2E-M1-N10,R26-M1-N14,R2E-M1-N14,R2E-M1-N02,R0E-M1-N02,R2C-M1-N11,R2E-M1-N11,R2E-M1-N08,R2F-M1-N08
R2E-M1-N11,R26-M1-N15,R2E-M1-N15,R2E-M1-N03,R0E-M1-N03,R2E-M1-N10,R2A-M1-N10,R2E-M1-N09,R2F-M1-N09
R2E-M1-N12,R2E-M1-N08,R26-M1-N08,R2E-M1-N04,R0E-M1-N04,R2C-M1-N13,R2E-M1-N13,R2E-M0-N14,R2E-M1-N14
R2E-M1-N13,R2E-M1-N09,R26-M1-N09,R2E-M1-N05,R0E-M1-N05,R2E-M1-N12,R2A-M1-N12,R2E-M0-N15,R2E-M1-N15
R2E-M1-N14,R2E-M1-N10,R26-M1-N10,R2E-M1-N06,R0E-M1-N06,R2C-M1-N15,R2E-M1-N15,R2E-M1-N12,R2F-M1-N12
R2E-M1-N15,R2E-M1-N11,R26-M1-N11,R2E-M1-N07,R0E-M1-N07,R2E-M1-N14,R2A-M1-N14,R2E-M1-N13,R2F-M1-N13
R2F-M0-N00,R27-M0-N04,R2F-M0-N04,R1F-M0-N08,R2F-M0-N08,R2D-M0-N01,R2F-M0-N01,R2F-M1-N02,R2F-M0-N02
R2F-M0-N01,R27-M0-N05,R2F-M0-N05,R1F-M0-N09,R2F-M0-N09,R2F-M0-N00,R2B-M0-N00,R2F-M1-N03,R2F-M0-N03
R2F-M0-N02,R27-M0-N06,R2F-M0-N06,R1F-M0-N10,R2F-M0-N10,R2D-M0-N03,R2F-M0-N03,R2F-M0-N00,R2E-M0-N00
R2F-M0-N03,R27-M0-N07,R2F-M0-N07,R1F-M0-N11,R2F-M0-N11,R2F-M0-N02,R2B-M0-N02,R2F-M0-N01,R2E-M0-N01
R2F-M0-N04,R2F-M0-N00,R27-M0-N00,R1F-M0-N12,R2F-M0-N12,R2D-M0-N05,R2F-M0-N05,R2F-M1-N06,R2F-M0-N06
R2F-M0-N05,R2F-M0-N01,R27-M0-N01,R1F-M0-N13,R2F-M0-N13,R2F-M0-N04,R2B-M0-N04,R2F-M1-N07,R2F-M0-N07
R2F-M0-N06,R2F-M0-N02,R27-M0-N02,R1F-M0-N14,R2F-M0-N14,R2D-M0-N07,R2F-M0-N07,R2F-M0-N04,R2E-M0-N04
R2F-M0-N07,R2F-M0-N03,R27-M0-N03,R1F-M0-N15,R2F-M0-N15,R2F-M0-N06,R2B-M0-N06,R2F-M0-N05,R2E-M0-N05
R2F-M0-N08,R27-M0-N12,R2F-M0-N12,R2F-M0-N00,R0F-M0-N00,R2D-M0-N09,R2F-M0-N09,R2F-M1-N10,R2F-M0-N10
R2F-M0-N09,R27-M0-N13,R2F-M0-N13,R2F-M0-N01,R0F-M0-N01,R2F-M0-N08,R2B-M0-N08,R2F-M1-N11,R2F-M0-N11
R2F-M0-N10,R27-M0-N14,R2F-M0-N14,R2F-M0-N02,R0F-M0-N02,R2D-M0-N11,R2F-M0-N11,R2F-M0-N08,R2E-M0-N08
