RM,Ar,At,Br,Bt,Cr,Ct,Dr,Dt,IO
R18-M0,R10-M0,R10-M0,R08-M0,R28-M0,R1A-M0,R1C-M0,R19-M0,R18-M1,Q1H-I0
R18-M1,R10-M1,R10-M1,R08-M1,R28-M1,R1A-M1,R1C-M1,R18-M0,R19-M1,Q1H-I0
R19-M0,R11-M0,R11-M0,R09-M0,R29-M0,R1B-M0,R1D-M0,R19-M1,R18-M0,Q1H-I1
R19-M1,R11-M1,R11-M1,R09-M1,R29-M1,R1B-M1,R1D-M1,R18-M1,R19-M0,Q1H-I1
R1A-M0,R12-M0,R12-M0,R0A-M0,R2A-M0,R1E-M0,R18-M0,R1B-M0,R1A-M1,Q1H-I2
R1A-M1,R12-M1,R12-M1,R0A-M1,R2A-M1,R1E-M1,R18-M1,R1A-M0,R1B-M1,Q1H-I2
R1B-M0,R13-M0,R13-M0,R0B-M0,R2B-M0,R1F-M0,R19-M0,R1B-M1,R1A-M0,Q1H-I3
R1B-M1,R13-M1,R13-M1,R0B-M1,R2B-M1,R1F-M1,R19-M1,R1A-M1,R1B-M0,Q1H-I3
R1C-M0,R14-M0,R14-M0,R0C-M0,R2C-M0,R18-M0,R1E-M0,R1D-M0,R1C-M1,Q1H-I4
R1C-M1,R14-M1,R14-M1,R0C-M1,R2C-M1,R18-M1,R1E-M1,R1C-M0,R1D-M1,Q1H-I4
R1D-M0,R15-M0,R15-M0,R0D-M0,R2D-M0,R19-M0,R1F-M0,R1D-M1,R1C-M0,Q1H-I5
R1D-M1,R15-M1,R15-M1,R0D-M1,R2D-M1,R19-M1,R1F-M1,R1C-M1,R1D-M0,Q1H-I5
R1E-M0,R16-M0,R16-M0,R0E-M0,R2E-M0,R1C-M0,R1A-M0,R1F-M0,R1E-M1,Q1H-I6
R1E-M1,R16-M1,R16-M1,R0E-M1,R2E-M1,R1C-M1,R1A-M1,R1E-M0,R1F-M1,Q1H-I6
R1F-M0,R17-M0,R17-M0,R0F-M0,R2F-M0,R1D-M0,R1B-M0,R1F-M1,R1E-M0,Q1H-I7
R1F-M1,R17-M1,R17-M1,R0F-M1,R2F-M1,R1D-M1,R1B-M1,R1E-M1,R1F-M0,Q1H-I7
R20-M0,R28-M0,R28-M0,R10-M0,R00-M0,R22-M0,R24-M0,R21-M0,R20-M1,Q2G-I0
R20-M1,R28-M1,R28-M1,R10-M1,R00-M1,R22-M1,R24-M1,R20-M0,R21-M1,Q2G-I0
R21-M0,R29-M0,R29-M0,R11-M0,R01-M0,R23-M0,R25-M0,R21-M1,R20-M0,Q2G-I1
R21-M1,R29-M1,R29-M1,R11-M1,R01-M1,R23-M1,R25-M1,R20-M1,R21-M0,Q2G-I1
R22-M0,R2A-M0,R2A-M0,R12-M0,R02-M0,R26-M0,R20-M0,R23-M0,R22-M1,Q2G-I2
R22-M1,R2A-M1,R2A-M1,R12-M1,R02-M1,R26-M1,R20-M1,R22-M0,R23-M1,Q2G-I2
R23-M0,R2B-M0,R2B-M0,R13-M0,R03-M0,R27-M0,R21-M0,R23-M1,R22-M0,Q2G-I3
R23-M1,R2B-M1,R2B-M1,R13-M1,R03-M1,R27-M1,R21-M1,R22-M1,R23-M0,Q2G-I3
R24-M0,R2C-M0,R2C-M0,R14-M0,R04-M0,R20-M0,R26-M0,R25-M0,R24-M1,Q2G-I4
R24-M1,R2C-M1,R2C-M1,R14-M1,R04-M1,R20-M1,R26-M1,R24-M0,R25-M1,Q2G-I4
R25-M0,R2D-M0,R2D-M0,R15-M0,R05-M0,R21-M0,R27-M0,R25-M1,R24-M0,Q2G-I5
R25-M1,R2D-M1,R2D-M1,R15-M1,R05-M1,R21-M1,R27-M1,R24-M1,R25-M0,Q2G-I5
R26-M0,R2E-M0,R2E-M0,R16-M0,R06-M0,R24-M0,R22-M0,R27-M0,R26-M1,Q2G-I6
R26-M1,R2E-M1,R2E-M1,R16-M1,R06-M1,R24-M1,R22-M1,R26-M0,R27-M1,Q2G-I6
R27-M0,R2F-M0,R2F-M0,R17-M0,R07-M0,R25-M0,R23-M0,R27-M1,R26-M0,Q2G-I7
R27-M1,R2F-M1,R2F-M1,R17-M1,R07-M1,R25-M1,R23-M1,R26-M1,R27-M0,Q2G-I7
R28-M0,R20-M0,R20-M0,R18-M0,R08-M0,R2A-M0,R2C-M0,R29-M0,R28-M1,Q2H-I0
R28-M1,R20-M1,R20-M1,R18-M1,R08-M1,R2A-M1,R2C-M1,R28-M0,R29-M1,Q2H-I0
R29-M0,R21-M0,R21-M0,R19-M0,R09-M0,R2B-M0,R2D-M0,R29-M1,R28-M0,Q2H-I1
R29-M1,R21-M1,R21-M1,R19-M1,R09-M1,R2B-M1,R2D-M1,R28-M1,R29-M0,Q2H-I1
R2A-M0,R22-M0,R22-M0,R1A-M0,R0A-M0,R2E-M0,R28-M0,R2B-M0,R2A-M1,Q2H-I2
R2A-M1,R22-M1,R22-M1,R1A-M1,R0A-M1,R2E-M1,R28-M1,R2A-M0,R2B-M1,Q2H-I2
R2B-M0,R23-M0,R23-M0,R1B-M0,R0B-M0,R2F-M0,R29-M0,R2B-M1,R2A-M0,Q2H-I3
R2B-M1,R23-M1,R23-M1,R1B-M1,R0B-M1,R2F-M1,R29-M1,R2A-M1,R2B-M0,Q2H-I3
R2C-M0,R24-M0,R24-M0,R1C-M0,R0C-M0,R28-M0,R2E-M0,R2D-M0,R2C-M1,Q2H-I4
R2C-M1,R24-M1,R24-M1,R1C-M1,R0C-M1,R28-M1,R2E-M1,R2C-M0,R2D-M1,Q2H-I4
R2D-M0,R25-M0,R25-M0,R1D-M0,R0D-M0,R29-M0,R2F-M0,R2D-M1,R2C-M0,Q2H-I5
R2D-M1,R25-M1,R25-M1,R1D-M1,R0D-M1,R29-M1,R2F-M1,R2C-M1,R2D-M0,Q2H-I5
R2E-M0,R26-M0,R26-M0,R1E-M0,R0E-M0,R2C-M0,R2A-M0,R2F-M0,R2E-M1,Q2H-I6
R2E-M1,R26-M1,R26-M1,R1E-M1,R0E-M1,R2C-M1,R2A-M1,R2E-M0,R2F-M1,Q2H-I6
R2F-M0,R27-M0,R27-M0,R1F-M0,R0F-M0,R2D-M0,R2B-M0,R2F-M1,R2E-M0,Q2H-I7
R2F-M1,R27-M1,R27-M1,R1F-M1,R0F-M1,R2D-M1,R2B-M1,R2E-M1,R2F-M0,Q2H-I7
