"str","partition"
"000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00440-33771-512"
"001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00080-333F1-1024"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100","MIR-48800-7BB71-1-1024"
"000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000","MIR-44C40-77F71-512"
"000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000","MIR-48C00-7BF31-512"
"000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00800-33B71-1-1024"
"000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000","MIR-080C0-3B3F1-512"
"000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000","MIR-08040-3B371-512"
"000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000","MIR-04C40-37F71-512"
"000000000000111100000000000011110000000000000000000000000000000000000000000000000000000000000000","MIR-00800-73BF1-4096"
"000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000","MIR-04480-377B1-512"
"000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000","MIR-44C00-77F31-512"
"000011110000000000001111000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00C00-73FF1-4096"
"000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000","MIR-08000-3B331-512"
"000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00480-337B1-512"
"000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-008C0-33BF1-512"
"000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00400-33771-1-1024"
"000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000001111","MIR-08800-7BBF1-4096"
"000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-004C0-337F1-512"
"000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00CC0-33FF1-512"
"000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000","MIR-08C00-3BF71-1-1024"
"000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000","MIR-08000-3B371-1-1024"
"000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00880-33BB1-512"
"000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00C40-33F71-512"
"000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000000","MIR-08C00-3BFF1-2048"
"000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00C00-33F31-512"
"000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","MIR-00C80-33FB1-512"
