"torus","RMNJ"
"005B1","R05-M1-N02-J06"
"005C0","R05-M0-N00-J01"
"005C1","R05-M0-N00-J06"
"005D0","R05-M0-N00-J13"
"005D1","R05-M0-N00-J10"
"005E0","R05-M0-N02-J13"
"005E1","R05-M0-N02-J10"
"005F0","R05-M0-N02-J01"
"005F1","R05-M0-N02-J06"
"00600","R04-M0-N01-J01"
"00601","R04-M0-N01-J06"
"00610","R04-M0-N01-J13"
"00611","R04-M0-N01-J10"
"00620","R04-M0-N03-J13"
"00621","R04-M0-N03-J10"
"00630","R04-M0-N03-J01"
"00631","R04-M0-N03-J06"
"00640","R04-M1-N01-J01"
"00641","R04-M1-N01-J06"
"00650","R04-M1-N01-J13"
"00651","R04-M1-N01-J10"
"00660","R04-M1-N03-J13"
"00661","R04-M1-N03-J10"
"00670","R04-M1-N03-J01"
"00671","R04-M1-N03-J06"
"00680","R05-M1-N01-J01"
"00681","R05-M1-N01-J06"
"00690","R05-M1-N01-J13"
"00691","R05-M1-N01-J10"
"006A0","R05-M1-N03-J13"
"006A1","R05-M1-N03-J10"
"006B0","R05-M1-N03-J01"
"006B1","R05-M1-N03-J06"
"006C0","R05-M0-N01-J01"
"006C1","R05-M0-N01-J06"
"006D0","R05-M0-N01-J13"
"006D1","R05-M0-N01-J10"
"006E0","R05-M0-N03-J13"
"006E1","R05-M0-N03-J10"
"006F0","R05-M0-N03-J01"
"006F1","R05-M0-N03-J06"
"00700","R04-M0-N01-J00"
"00701","R04-M0-N01-J07"
"00710","R04-M0-N01-J12"
"00711","R04-M0-N01-J11"
"00720","R04-M0-N03-J12"
"00721","R04-M0-N03-J11"
"00730","R04-M0-N03-J00"
"00731","R04-M0-N03-J07"
"00740","R04-M1-N01-J00"
"00741","R04-M1-N01-J07"
"00750","R04-M1-N01-J12"
"00751","R04-M1-N01-J11"
"00760","R04-M1-N03-J12"
"00761","R04-M1-N03-J11"
"00770","R04-M1-N03-J00"
"00771","R04-M1-N03-J07"
"00780","R05-M1-N01-J00"
"00781","R05-M1-N01-J07"
"00790","R05-M1-N01-J12"
"00791","R05-M1-N01-J11"
"007A0","R05-M1-N03-J12"
"007A1","R05-M1-N03-J11"
"007B0","R05-M1-N03-J00"
"007B1","R05-M1-N03-J07"
"007C0","R05-M0-N01-J00"
"007C1","R05-M0-N01-J07"
"007D0","R05-M0-N01-J12"
"007D1","R05-M0-N01-J11"
"007E0","R05-M0-N03-J12"
"007E1","R05-M0-N03-J11"
"007F0","R05-M0-N03-J00"
