"torus","RMNJ"
"136D1","R05-M0-N09-J16"
"136E0","R05-M0-N11-J23"
"136E1","R05-M0-N11-J16"
"136F0","R05-M0-N11-J27"
"136F1","R05-M0-N11-J28"
"13700","R04-M0-N09-J26"
"13701","R04-M0-N09-J29"
"13710","R04-M0-N09-J22"
"13711","R04-M0-N09-J17"
"13720","R04-M0-N11-J22"
"13721","R04-M0-N11-J17"
"13730","R04-M0-N11-J26"
"13731","R04-M0-N11-J29"
"13740","R04-M1-N09-J26"
"13741","R04-M1-N09-J29"
"13750","R04-M1-N09-J22"
"13751","R04-M1-N09-J17"
"13760","R04-M1-N11-J22"
"13761","R04-M1-N11-J17"
"13770","R04-M1-N11-J26"
"13771","R04-M1-N11-J29"
"13780","R05-M1-N09-J26"
"13781","R05-M1-N09-J29"
"13790","R05-M1-N09-J22"
"13791","R05-M1-N09-J17"
"137A0","R05-M1-N11-J22"
"137A1","R05-M1-N11-J17"
"137B0","R05-M1-N11-J26"
"137B1","R05-M1-N11-J29"
"137C0","R05-M0-N09-J26"
"137C1","R05-M0-N09-J29"
"137D0","R05-M0-N09-J22"
"137D1","R05-M0-N09-J17"
"137E0","R05-M0-N11-J22"
"137E1","R05-M0-N11-J17"
"137F0","R05-M0-N11-J26"
"137F1","R05-M0-N11-J29"
"13800","R06-M0-N08-J26"
"13801","R06-M0-N08-J29"
"13810","R06-M0-N08-J22"
"13811","R06-M0-N08-J17"
"13820","R06-M0-N10-J22"
"13821","R06-M0-N10-J17"
"13830","R06-M0-N10-J26"
"13831","R06-M0-N10-J29"
"13840","R06-M1-N08-J26"
"13841","R06-M1-N08-J29"
"13850","R06-M1-N08-J22"
"13851","R06-M1-N08-J17"
"13860","R06-M1-N10-J22"
"13861","R06-M1-N10-J17"
"13870","R06-M1-N10-J26"
"13871","R06-M1-N10-J29"
"13880","R07-M1-N08-J26"
"13881","R07-M1-N08-J29"
"13890","R07-M1-N08-J22"
"13891","R07-M1-N08-J17"
"138A0","R07-M1-N10-J22"
"138A1","R07-M1-N10-J17"
"138B0","R07-M1-N10-J26"
"138B1","R07-M1-N10-J29"
"138C0","R07-M0-N08-J26"
"138C1","R07-M0-N08-J29"
"138D0","R07-M0-N08-J22"
"138D1","R07-M0-N08-J17"
"138E0","R07-M0-N10-J22"
"138E1","R07-M0-N10-J17"
"138F0","R07-M0-N10-J26"
"138F1","R07-M0-N10-J29"
"13900","R06-M0-N08-J27"
"13901","R06-M0-N08-J28"
"13910","R06-M0-N08-J23"
"13911","R06-M0-N08-J16"
"13920","R06-M0-N10-J23"
"13921","R06-M0-N10-J16"
"13930","R06-M0-N10-J27"
"13931","R06-M0-N10-J28"
"13940","R06-M1-N08-J27"
"13941","R06-M1-N08-J28"
"13950","R06-M1-N08-J23"
"13951","R06-M1-N08-J16"
"13960","R06-M1-N10-J23"
"13961","R06-M1-N10-J16"
"13970","R06-M1-N10-J27"
"13971","R06-M1-N10-J28"
"13980","R07-M1-N08-J27"
"13981","R07-M1-N08-J28"
"13990","R07-M1-N08-J23"
"13991","R07-M1-N08-J16"
"139A0","R07-M1-N10-J23"
"139A1","R07-M1-N10-J16"
"139B0","R07-M1-N10-J27"
"139B1","R07-M1-N10-J28"
"139C0","R07-M0-N08-J27"
"139C1","R07-M0-N08-J28"
"139D0","R07-M0-N08-J23"
"139D1","R07-M0-N08-J16"
"139E0","R07-M0-N10-J23"
"139E1","R07-M0-N10-J16"
"139F0","R07-M0-N10-J27"
"139F1","R07-M0-N10-J28"
"13A00","R06-M0-N09-J27"
"13A01","R06-M0-N09-J28"
"13A10","R06-M0-N09-J23"
"13A11","R06-M0-N09-J16"
"13A20","R06-M0-N11-J23"
"13A21","R06-M0-N11-J16"
"13A30","R06-M0-N11-J27"
"13A31","R06-M0-N11-J28"
"13A40","R06-M1-N09-J27"
"13A41","R06-M1-N09-J28"
"13A50","R06-M1-N09-J23"
"13A51","R06-M1-N09-J16"
"13A60","R06-M1-N11-J23"
"13A61","R06-M1-N11-J16"
"13A70","R06-M1-N11-J27"
"13A71","R06-M1-N11-J28"
"13A80","R07-M1-N09-J27"
"13A81","R07-M1-N09-J28"
"13A90","R07-M1-N09-J23"
"13A91","R07-M1-N09-J16"
"13AA0","R07-M1-N11-J23"
"13AA1","R07-M1-N11-J16"
"13AB0","R07-M1-N11-J27"
"13AB1","R07-M1-N11-J28"
"13AC0","R07-M0-N09-J27"
"13AC1","R07-M0-N09-J28"
"13AD0","R07-M0-N09-J23"
"13AD1","R07-M0-N09-J16"
"13AE0","R07-M0-N11-J23"
"13AE1","R07-M0-N11-J16"
"13AF0","R07-M0-N11-J27"
"13AF1","R07-M0-N11-J28"
"13B00","R06-M0-N09-J26"
"13B01","R06-M0-N09-J29"
"13B10","R06-M0-N09-J22"
"13B11","R06-M0-N09-J17"
"13B20","R06-M0-N11-J22"
"13B21","R06-M0-N11-J17"
"13B30","R06-M0-N11-J26"
"13B31","R06-M0-N11-J29"
"13B40","R06-M1-N09-J26"
"13B41","R06-M1-N09-J29"
"13B50","R06-M1-N09-J22"
"13B51","R06-M1-N09-J17"
"13B60","R06-M1-N11-J22"
"13B61","R06-M1-N11-J17"
"13B70","R06-M1-N11-J26"
"13B71","R06-M1-N11-J29"
"13B80","R07-M1-N09-J26"
"13B81","R07-M1-N09-J29"
"13B90","R07-M1-N09-J22"
"13B91","R07-M1-N09-J17"
"13BA0","R07-M1-N11-J22"
"13BA1","R07-M1-N11-J17"
"13BB0","R07-M1-N11-J26"
"13BB1","R07-M1-N11-J29"
"13BC0","R07-M0-N09-J26"
"13BC1","R07-M0-N09-J29"
"13BD0","R07-M0-N09-J22"
"13BD1","R07-M0-N09-J17"
"13BE0","R07-M0-N11-J22"
"13BE1","R07-M0-N11-J17"
"13BF0","R07-M0-N11-J26"
"13BF1","R07-M0-N11-J29"
"13C00","R02-M0-N08-J26"
"13C01","R02-M0-N08-J29"
"13C10","R02-M0-N08-J22"
"13C11","R02-M0-N08-J17"
"13C20","R02-M0-N10-J22"
"13C21","R02-M0-N10-J17"
"13C30","R02-M0-N10-J26"
"13C31","R02-M0-N10-J29"
"13C40","R02-M1-N08-J26"
"13C41","R02-M1-N08-J29"
"13C50","R02-M1-N08-J22"
"13C51","R02-M1-N08-J17"
"13C60","R02-M1-N10-J22"
"13C61","R02-M1-N10-J17"
"13C70","R02-M1-N10-J26"
"13C71","R02-M1-N10-J29"
"13C80","R03-M1-N08-J26"
"13C81","R03-M1-N08-J29"
"13C90","R03-M1-N08-J22"
"13C91","R03-M1-N08-J17"
"13CA0","R03-M1-N10-J22"
"13CA1","R03-M1-N10-J17"
"13CB0","R03-M1-N10-J26"
"13CB1","R03-M1-N10-J29"
"13CC0","R03-M0-N08-J26"
"13CC1","R03-M0-N08-J29"
"13CD0","R03-M0-N08-J22"
"13CD1","R03-M0-N08-J17"
"13CE0","R03-M0-N10-J22"
"13CE1","R03-M0-N10-J17"
"13CF0","R03-M0-N10-J26"
"13CF1","R03-M0-N10-J29"
"13D00","R02-M0-N08-J27"
"13D01","R02-M0-N08-J28"
"13D10","R02-M0-N08-J23"
"13D11","R02-M0-N08-J16"
"13D20","R02-M0-N10-J23"
"13D21","R02-M0-N10-J16"
"13D30","R02-M0-N10-J27"
"13D31","R02-M0-N10-J28"
"13D40","R02-M1-N08-J27"
"13D41","R02-M1-N08-J28"
"13D50","R02-M1-N08-J23"
"13D51","R02-M1-N08-J16"
"13D60","R02-M1-N10-J23"
"13D61","R02-M1-N10-J16"
"13D70","R02-M1-N10-J27"
"13D71","R02-M1-N10-J28"
"13D80","R03-M1-N08-J27"
"13D81","R03-M1-N08-J28"
"13D90","R03-M1-N08-J23"
"13D91","R03-M1-N08-J16"
"13DA0","R03-M1-N10-J23"
"13DA1","R03-M1-N10-J16"
"13DB0","R03-M1-N10-J27"
"13DB1","R03-M1-N10-J28"
"13DC0","R03-M0-N08-J27"
"13DC1","R03-M0-N08-J28"
"13DD0","R03-M0-N08-J23"
"13DD1","R03-M0-N08-J16"
"13DE0","R03-M0-N10-J23"
"13DE1","R03-M0-N10-J16"
"13DF0","R03-M0-N10-J27"
"13DF1","R03-M0-N10-J28"
"13E00","R02-M0-N09-J27"
"13E01","R02-M0-N09-J28"
"13E10","R02-M0-N09-J23"
"13E11","R02-M0-N09-J16"
"13E20","R02-M0-N11-J23"
"13E21","R02-M0-N11-J16"
"13E30","R02-M0-N11-J27"
"13E31","R02-M0-N11-J28"
"13E40","R02-M1-N09-J27"
"13E41","R02-M1-N09-J28"
"13E50","R02-M1-N09-J23"
"13E51","R02-M1-N09-J16"
"13E60","R02-M1-N11-J23"
"13E61","R02-M1-N11-J16"
"13E70","R02-M1-N11-J27"
"13E71","R02-M1-N11-J28"
"13E80","R03-M1-N09-J27"
"13E81","R03-M1-N09-J28"
"13E90","R03-M1-N09-J23"
"13E91","R03-M1-N09-J16"
"13EA0","R03-M1-N11-J23"
"13EA1","R03-M1-N11-J16"
"13EB0","R03-M1-N11-J27"
"13EB1","R03-M1-N11-J28"
"13EC0","R03-M0-N09-J27"
"13EC1","R03-M0-N09-J28"
"13ED0","R03-M0-N09-J23"
"13ED1","R03-M0-N09-J16"
"13EE0","R03-M0-N11-J23"
"13EE1","R03-M0-N11-J16"
"13EF0","R03-M0-N11-J27"
"13EF1","R03-M0-N11-J28"
"13F00","R02-M0-N09-J26"
"13F01","R02-M0-N09-J29"
"13F10","R02-M0-N09-J22"
"13F11","R02-M0-N09-J17"
"13F20","R02-M0-N11-J22"
"13F21","R02-M0-N11-J17"
"13F30","R02-M0-N11-J26"
"13F31","R02-M0-N11-J29"
"13F40","R02-M1-N09-J26"
"13F41","R02-M1-N09-J29"
"13F50","R02-M1-N09-J22"
"13F51","R02-M1-N09-J17"
"13F60","R02-M1-N11-J22"
"13F61","R02-M1-N11-J17"
"13F70","R02-M1-N11-J26"
"13F71","R02-M1-N11-J29"
"13F80","R03-M1-N09-J26"
"13F81","R03-M1-N09-J29"
"13F90","R03-M1-N09-J22"
"13F91","R03-M1-N09-J17"
"13FA0","R03-M1-N11-J22"
"13FA1","R03-M1-N11-J17"
"13FB0","R03-M1-N11-J26"
"13FB1","R03-M1-N11-J29"
"13FC0","R03-M0-N09-J26"
"13FC1","R03-M0-N09-J29"
"13FD0","R03-M0-N09-J22"
"13FD1","R03-M0-N09-J17"
"13FE0","R03-M0-N11-J22"
"13FE1","R03-M0-N11-J17"
"13FF0","R03-M0-N11-J26"
"13FF1","R03-M0-N11-J29"
"14000","R10-M0-N00-J29"
"14001","R10-M0-N00-J26"
"14010","R10-M0-N00-J17"
"14011","R10-M0-N00-J22"
"14020","R10-M0-N02-J17"
"14021","R10-M0-N02-J22"
"14030","R10-M0-N02-J29"
"14031","R10-M0-N02-J26"
"14040","R10-M1-N00-J29"
"14041","R10-M1-N00-J26"
"14050","R10-M1-N00-J17"
"14051","R10-M1-N00-J22"
"14060","R10-M1-N02-J17"
"14061","R10-M1-N02-J22"
"14070","R10-M1-N02-J29"
"14071","R10-M1-N02-J26"
"14080","R11-M1-N00-J29"
"14081","R11-M1-N00-J26"
"14090","R11-M1-N00-J17"
"14091","R11-M1-N00-J22"
"140A0","R11-M1-N02-J17"
"140A1","R11-M1-N02-J22"
"140B0","R11-M1-N02-J29"
"140B1","R11-M1-N02-J26"
"140C0","R11-M0-N00-J29"
"140C1","R11-M0-N00-J26"
"140D0","R11-M0-N00-J17"
"140D1","R11-M0-N00-J22"
"140E0","R11-M0-N02-J17"
"140E1","R11-M0-N02-J22"
"140F0","R11-M0-N02-J29"
"140F1","R11-M0-N02-J26"
"14100","R10-M0-N00-J28"
"14101","R10-M0-N00-J27"
"14110","R10-M0-N00-J16"
"14111","R10-M0-N00-J23"
"14120","R10-M0-N02-J16"
"14121","R10-M0-N02-J23"
"14130","R10-M0-N02-J28"
"14131","R10-M0-N02-J27"
"14140","R10-M1-N00-J28"
"14141","R10-M1-N00-J27"
"14150","R10-M1-N00-J16"
"14151","R10-M1-N00-J23"
"14160","R10-M1-N02-J16"
"14161","R10-M1-N02-J23"
"14170","R10-M1-N02-J28"
"14171","R10-M1-N02-J27"
"14180","R11-M1-N00-J28"
"14181","R11-M1-N00-J27"
"14190","R11-M1-N00-J16"
"14191","R11-M1-N00-J23"
"141A0","R11-M1-N02-J16"
"141A1","R11-M1-N02-J23"
"141B0","R11-M1-N02-J28"
"141B1","R11-M1-N02-J27"
"141C0","R11-M0-N00-J28"
"141C1","R11-M0-N00-J27"
"141D0","R11-M0-N00-J16"
"141D1","R11-M0-N00-J23"
"141E0","R11-M0-N02-J16"
"141E1","R11-M0-N02-J23"
"141F0","R11-M0-N02-J28"
"141F1","R11-M0-N02-J27"
"14200","R10-M0-N01-J28"
"14201","R10-M0-N01-J27"
"14210","R10-M0-N01-J16"
"14211","R10-M0-N01-J23"
"14220","R10-M0-N03-J16"
"14221","R10-M0-N03-J23"
"14230","R10-M0-N03-J28"
"14231","R10-M0-N03-J27"
"14240","R10-M1-N01-J28"
"14241","R10-M1-N01-J27"
"14250","R10-M1-N01-J16"
"14251","R10-M1-N01-J23"
"14260","R10-M1-N03-J16"
"14261","R10-M1-N03-J23"
"14270","R10-M1-N03-J28"
"14271","R10-M1-N03-J27"
"14280","R11-M1-N01-J28"
"14281","R11-M1-N01-J27"
"14290","R11-M1-N01-J16"
"14291","R11-M1-N01-J23"
"142A0","R11-M1-N03-J16"
"142A1","R11-M1-N03-J23"
"142B0","R11-M1-N03-J28"
"142B1","R11-M1-N03-J27"
"142C0","R11-M0-N01-J28"
"142C1","R11-M0-N01-J27"
"142D0","R11-M0-N01-J16"
"142D1","R11-M0-N01-J23"
"142E0","R11-M0-N03-J16"
"142E1","R11-M0-N03-J23"
"142F0","R11-M0-N03-J28"
"142F1","R11-M0-N03-J27"
"14300","R10-M0-N01-J29"
"14301","R10-M0-N01-J26"
"14310","R10-M0-N01-J17"
"14311","R10-M0-N01-J22"
"14320","R10-M0-N03-J17"
"14321","R10-M0-N03-J22"
"14330","R10-M0-N03-J29"
"14331","R10-M0-N03-J26"
"14340","R10-M1-N01-J29"
"14341","R10-M1-N01-J26"
"14350","R10-M1-N01-J17"
"14351","R10-M1-N01-J22"
"14360","R10-M1-N03-J17"
"14361","R10-M1-N03-J22"
"14370","R10-M1-N03-J29"
"14371","R10-M1-N03-J26"
"14380","R11-M1-N01-J29"
"14381","R11-M1-N01-J26"
"14390","R11-M1-N01-J17"
"14391","R11-M1-N01-J22"
"143A0","R11-M1-N03-J17"
"143A1","R11-M1-N03-J22"
"143B0","R11-M1-N03-J29"
"143B1","R11-M1-N03-J26"
"143C0","R11-M0-N01-J29"
"143C1","R11-M0-N01-J26"
"143D0","R11-M0-N01-J17"
"143D1","R11-M0-N01-J22"
"143E0","R11-M0-N03-J17"
"143E1","R11-M0-N03-J22"
"143F0","R11-M0-N03-J29"
"143F1","R11-M0-N03-J26"
"14400","R14-M0-N00-J29"
"14401","R14-M0-N00-J26"
"14410","R14-M0-N00-J17"
"14411","R14-M0-N00-J22"
"14420","R14-M0-N02-J17"
"14421","R14-M0-N02-J22"
"14430","R14-M0-N02-J29"
"14431","R14-M0-N02-J26"
"14440","R14-M1-N00-J29"
"14441","R14-M1-N00-J26"
"14450","R14-M1-N00-J17"
"14451","R14-M1-N00-J22"
"14460","R14-M1-N02-J17"
"14461","R14-M1-N02-J22"
"14470","R14-M1-N02-J29"
"14471","R14-M1-N02-J26"
"14480","R15-M1-N00-J29"
"14481","R15-M1-N00-J26"
"14490","R15-M1-N00-J17"
"14491","R15-M1-N00-J22"
"144A0","R15-M1-N02-J17"
"144A1","R15-M1-N02-J22"
"144B0","R15-M1-N02-J29"
"144B1","R15-M1-N02-J26"
"144C0","R15-M0-N00-J29"
"144C1","R15-M0-N00-J26"
"144D0","R15-M0-N00-J17"
"144D1","R15-M0-N00-J22"
"144E0","R15-M0-N02-J17"
"144E1","R15-M0-N02-J22"
"144F0","R15-M0-N02-J29"
"144F1","R15-M0-N02-J26"
"14500","R14-M0-N00-J28"
"14501","R14-M0-N00-J27"
"14510","R14-M0-N00-J16"
"14511","R14-M0-N00-J23"
"14520","R14-M0-N02-J16"
"14521","R14-M0-N02-J23"
"14530","R14-M0-N02-J28"
"14531","R14-M0-N02-J27"
"14540","R14-M1-N00-J28"
"14541","R14-M1-N00-J27"
"14550","R14-M1-N00-J16"
"14551","R14-M1-N00-J23"
"14560","R14-M1-N02-J16"
"14561","R14-M1-N02-J23"
"14570","R14-M1-N02-J28"
"14571","R14-M1-N02-J27"
"14580","R15-M1-N00-J28"
"14581","R15-M1-N00-J27"
"14590","R15-M1-N00-J16"
"14591","R15-M1-N00-J23"
"145A0","R15-M1-N02-J16"
"145A1","R15-M1-N02-J23"
"145B0","R15-M1-N02-J28"
"145B1","R15-M1-N02-J27"
"145C0","R15-M0-N00-J28"
"145C1","R15-M0-N00-J27"
"145D0","R15-M0-N00-J16"
"145D1","R15-M0-N00-J23"
"145E0","R15-M0-N02-J16"
"145E1","R15-M0-N02-J23"
"145F0","R15-M0-N02-J28"
"145F1","R15-M0-N02-J27"
"14600","R14-M0-N01-J28"
"14601","R14-M0-N01-J27"
"14610","R14-M0-N01-J16"
"14611","R14-M0-N01-J23"
"14620","R14-M0-N03-J16"
"14621","R14-M0-N03-J23"
"14630","R14-M0-N03-J28"
"14631","R14-M0-N03-J27"
"14640","R14-M1-N01-J28"
"14641","R14-M1-N01-J27"
"14650","R14-M1-N01-J16"
"14651","R14-M1-N01-J23"
"14660","R14-M1-N03-J16"
"14661","R14-M1-N03-J23"
"14670","R14-M1-N03-J28"
"14671","R14-M1-N03-J27"
"14680","R15-M1-N01-J28"
"14681","R15-M1-N01-J27"
"14690","R15-M1-N01-J16"
"14691","R15-M1-N01-J23"
"146A0","R15-M1-N03-J16"
"146A1","R15-M1-N03-J23"
"146B0","R15-M1-N03-J28"
"146B1","R15-M1-N03-J27"
"146C0","R15-M0-N01-J28"
"146C1","R15-M0-N01-J27"
"146D0","R15-M0-N01-J16"
"146D1","R15-M0-N01-J23"
"146E0","R15-M0-N03-J16"
"146E1","R15-M0-N03-J23"
"146F0","R15-M0-N03-J28"
"146F1","R15-M0-N03-J27"
"14700","R14-M0-N01-J29"
"14701","R14-M0-N01-J26"
"14710","R14-M0-N01-J17"
"14711","R14-M0-N01-J22"
"14720","R14-M0-N03-J17"
"14721","R14-M0-N03-J22"
"14730","R14-M0-N03-J29"
"14731","R14-M0-N03-J26"
"14740","R14-M1-N01-J29"
"14741","R14-M1-N01-J26"
"14750","R14-M1-N01-J17"
"14751","R14-M1-N01-J22"
"14760","R14-M1-N03-J17"
"14761","R14-M1-N03-J22"
"14770","R14-M1-N03-J29"
"14771","R14-M1-N03-J26"
"14780","R15-M1-N01-J29"
"14781","R15-M1-N01-J26"
"14790","R15-M1-N01-J17"
"14791","R15-M1-N01-J22"
"147A0","R15-M1-N03-J17"
"147A1","R15-M1-N03-J22"
"147B0","R15-M1-N03-J29"
"147B1","R15-M1-N03-J26"
"147C0","R15-M0-N01-J29"
"147C1","R15-M0-N01-J26"
"147D0","R15-M0-N01-J17"
"147D1","R15-M0-N01-J22"
"147E0","R15-M0-N03-J17"
"147E1","R15-M0-N03-J22"
"147F0","R15-M0-N03-J29"
"147F1","R15-M0-N03-J26"
"14800","R16-M0-N00-J29"
"14801","R16-M0-N00-J26"
"14810","R16-M0-N00-J17"
"14811","R16-M0-N00-J22"
"14820","R16-M0-N02-J17"
"14821","R16-M0-N02-J22"
"14830","R16-M0-N02-J29"
"14831","R16-M0-N02-J26"
"14840","R16-M1-N00-J29"
"14841","R16-M1-N00-J26"
"14850","R16-M1-N00-J17"
"14851","R16-M1-N00-J22"
"14860","R16-M1-N02-J17"
"14861","R16-M1-N02-J22"
"14870","R16-M1-N02-J29"
"14871","R16-M1-N02-J26"
"14880","R17-M1-N00-J29"
"14881","R17-M1-N00-J26"
"14890","R17-M1-N00-J17"
"14891","R17-M1-N00-J22"
"148A0","R17-M1-N02-J17"
"148A1","R17-M1-N02-J22"
"148B0","R17-M1-N02-J29"
"148B1","R17-M1-N02-J26"
"148C0","R17-M0-N00-J29"
"148C1","R17-M0-N00-J26"
"148D0","R17-M0-N00-J17"
"148D1","R17-M0-N00-J22"
"148E0","R17-M0-N02-J17"
"148E1","R17-M0-N02-J22"
"148F0","R17-M0-N02-J29"
"148F1","R17-M0-N02-J26"
"14900","R16-M0-N00-J28"
"14901","R16-M0-N00-J27"
"14910","R16-M0-N00-J16"
"14911","R16-M0-N00-J23"
"14920","R16-M0-N02-J16"
"14921","R16-M0-N02-J23"
"14930","R16-M0-N02-J28"
"14931","R16-M0-N02-J27"
"14940","R16-M1-N00-J28"
"14941","R16-M1-N00-J27"
"14950","R16-M1-N00-J16"
"14951","R16-M1-N00-J23"
"14960","R16-M1-N02-J16"
"14961","R16-M1-N02-J23"
"14970","R16-M1-N02-J28"
"14971","R16-M1-N02-J27"
"14980","R17-M1-N00-J28"
"14981","R17-M1-N00-J27"
"14990","R17-M1-N00-J16"
"14991","R17-M1-N00-J23"
"149A0","R17-M1-N02-J16"
"149A1","R17-M1-N02-J23"
"149B0","R17-M1-N02-J28"
"149B1","R17-M1-N02-J27"
"149C0","R17-M0-N00-J28"
"149C1","R17-M0-N00-J27"
"149D0","R17-M0-N00-J16"
"149D1","R17-M0-N00-J23"
"149E0","R17-M0-N02-J16"
"149E1","R17-M0-N02-J23"
"149F0","R17-M0-N02-J28"
"149F1","R17-M0-N02-J27"
"14A00","R16-M0-N01-J28"
"14A01","R16-M0-N01-J27"
"14A10","R16-M0-N01-J16"
"14A11","R16-M0-N01-J23"
"14A20","R16-M0-N03-J16"
"14A21","R16-M0-N03-J23"
"14A30","R16-M0-N03-J28"
"14A31","R16-M0-N03-J27"
"14A40","R16-M1-N01-J28"
"14A41","R16-M1-N01-J27"
"14A50","R16-M1-N01-J16"
"14A51","R16-M1-N01-J23"
"14A60","R16-M1-N03-J16"
"14A61","R16-M1-N03-J23"
"14A70","R16-M1-N03-J28"
"14A71","R16-M1-N03-J27"
"14A80","R17-M1-N01-J28"
"14A81","R17-M1-N01-J27"
"14A90","R17-M1-N01-J16"
"14A91","R17-M1-N01-J23"
"14AA0","R17-M1-N03-J16"
"14AA1","R17-M1-N03-J23"
"14AB0","R17-M1-N03-J28"
"14AB1","R17-M1-N03-J27"
"14AC0","R17-M0-N01-J28"
"14AC1","R17-M0-N01-J27"
"14AD0","R17-M0-N01-J16"
"14AD1","R17-M0-N01-J23"
"14AE0","R17-M0-N03-J16"
"14AE1","R17-M0-N03-J23"
"14AF0","R17-M0-N03-J28"
"14AF1","R17-M0-N03-J27"
"14B00","R16-M0-N01-J29"
"14B01","R16-M0-N01-J26"
"14B10","R16-M0-N01-J17"
"14B11","R16-M0-N01-J22"
"14B20","R16-M0-N03-J17"
"14B21","R16-M0-N03-J22"
"14B30","R16-M0-N03-J29"
"14B31","R16-M0-N03-J26"
"14B40","R16-M1-N01-J29"
"14B41","R16-M1-N01-J26"
"14B50","R16-M1-N01-J17"
"14B51","R16-M1-N01-J22"
"14B60","R16-M1-N03-J17"
"14B61","R16-M1-N03-J22"
"14B70","R16-M1-N03-J29"
"14B71","R16-M1-N03-J26"
"14B80","R17-M1-N01-J29"
"14B81","R17-M1-N01-J26"
"14B90","R17-M1-N01-J17"
"14B91","R17-M1-N01-J22"
"14BA0","R17-M1-N03-J17"
"14BA1","R17-M1-N03-J22"
"14BB0","R17-M1-N03-J29"
"14BB1","R17-M1-N03-J26"
"14BC0","R17-M0-N01-J29"
"14BC1","R17-M0-N01-J26"
"14BD0","R17-M0-N01-J17"
"14BD1","R17-M0-N01-J22"
"14BE0","R17-M0-N03-J17"
"14BE1","R17-M0-N03-J22"
"14BF0","R17-M0-N03-J29"
"14BF1","R17-M0-N03-J26"
"14C00","R12-M0-N00-J29"
"14C01","R12-M0-N00-J26"
"14C10","R12-M0-N00-J17"
"14C11","R12-M0-N00-J22"
"14C20","R12-M0-N02-J17"
"14C21","R12-M0-N02-J22"
"14C30","R12-M0-N02-J29"
"14C31","R12-M0-N02-J26"
"14C40","R12-M1-N00-J29"
"14C41","R12-M1-N00-J26"
"14C50","R12-M1-N00-J17"
"14C51","R12-M1-N00-J22"
"14C60","R12-M1-N02-J17"
"14C61","R12-M1-N02-J22"
"14C70","R12-M1-N02-J29"
"14C71","R12-M1-N02-J26"
"14C80","R13-M1-N00-J29"
"14C81","R13-M1-N00-J26"
"14C90","R13-M1-N00-J17"
"14C91","R13-M1-N00-J22"
"14CA0","R13-M1-N02-J17"
"14CA1","R13-M1-N02-J22"
"14CB0","R13-M1-N02-J29"
"14CB1","R13-M1-N02-J26"
"14CC0","R13-M0-N00-J29"
"14CC1","R13-M0-N00-J26"
"14CD0","R13-M0-N00-J17"
"14CD1","R13-M0-N00-J22"
"14CE0","R13-M0-N02-J17"
"14CE1","R13-M0-N02-J22"
"14CF0","R13-M0-N02-J29"
"14CF1","R13-M0-N02-J26"
"14D00","R12-M0-N00-J28"
"14D01","R12-M0-N00-J27"
"14D10","R12-M0-N00-J16"
"14D11","R12-M0-N00-J23"
"14D20","R12-M0-N02-J16"
"14D21","R12-M0-N02-J23"
"14D30","R12-M0-N02-J28"
"14D31","R12-M0-N02-J27"
"14D40","R12-M1-N00-J28"
"14D41","R12-M1-N00-J27"
"14D50","R12-M1-N00-J16"
"14D51","R12-M1-N00-J23"
"14D60","R12-M1-N02-J16"
"14D61","R12-M1-N02-J23"
"14D70","R12-M1-N02-J28"
"14D71","R12-M1-N02-J27"
"14D80","R13-M1-N00-J28"
"14D81","R13-M1-N00-J27"
"14D90","R13-M1-N00-J16"
"14D91","R13-M1-N00-J23"
"14DA0","R13-M1-N02-J16"
"14DA1","R13-M1-N02-J23"
"14DB0","R13-M1-N02-J28"
"14DB1","R13-M1-N02-J27"
"14DC0","R13-M0-N00-J28"
"14DC1","R13-M0-N00-J27"
"14DD0","R13-M0-N00-J16"
"14DD1","R13-M0-N00-J23"
"14DE0","R13-M0-N02-J16"
"14DE1","R13-M0-N02-J23"
"14DF0","R13-M0-N02-J28"
"14DF1","R13-M0-N02-J27"
"14E00","R12-M0-N01-J28"
"14E01","R12-M0-N01-J27"
"14E10","R12-M0-N01-J16"
"14E11","R12-M0-N01-J23"
"14E20","R12-M0-N03-J16"
"14E21","R12-M0-N03-J23"
"14E30","R12-M0-N03-J28"
"14E31","R12-M0-N03-J27"
"14E40","R12-M1-N01-J28"
"14E41","R12-M1-N01-J27"
"14E50","R12-M1-N01-J16"
"14E51","R12-M1-N01-J23"
"14E60","R12-M1-N03-J16"
"14E61","R12-M1-N03-J23"
"14E70","R12-M1-N03-J28"
"14E71","R12-M1-N03-J27"
"14E80","R13-M1-N01-J28"
"14E81","R13-M1-N01-J27"
"14E90","R13-M1-N01-J16"
"14E91","R13-M1-N01-J23"
"14EA0","R13-M1-N03-J16"
"14EA1","R13-M1-N03-J23"
"14EB0","R13-M1-N03-J28"
"14EB1","R13-M1-N03-J27"
"14EC0","R13-M0-N01-J28"
"14EC1","R13-M0-N01-J27"
"14ED0","R13-M0-N01-J16"
"14ED1","R13-M0-N01-J23"
"14EE0","R13-M0-N03-J16"
"14EE1","R13-M0-N03-J23"
"14EF0","R13-M0-N03-J28"
"14EF1","R13-M0-N03-J27"
"14F00","R12-M0-N01-J29"
"14F01","R12-M0-N01-J26"
"14F10","R12-M0-N01-J17"
"14F11","R12-M0-N01-J22"
"14F20","R12-M0-N03-J17"
"14F21","R12-M0-N03-J22"
"14F30","R12-M0-N03-J29"
"14F31","R12-M0-N03-J26"
"14F40","R12-M1-N01-J29"
"14F41","R12-M1-N01-J26"
"14F50","R12-M1-N01-J17"
